Round,Fencer A Name,Fencer A Country,Fencer A Score,Fencer B Name,Fencer B Country,Fencer B Score,Winner
Preliminary 128,REPETTI Giovanni,ITA,15,N/A,N/A,N/A,REPETTI Giovanni
Preliminary 128,JEONG Hangil,KOR,3,OLLIVIER Leandre,FRA,15,OLLIVIER Leandre
Preliminary 128,CAVALIERE Dario,ITA,15,N/A,N/A,N/A,CAVALIERE Dario
Preliminary 128,DUBARRY Baptiste,FRA,15,N/A,N/A,N/A,DUBARRY Baptiste
Preliminary 128,HO Sze Long Aaron,HKG,15,N/A,N/A,N/A,HO Sze Long Aaron
Preliminary 128,CHAN Lok Hei Royce,HKG,11,BOUREAU Paco,FRA,15,BOUREAU Paco
Preliminary 128,SHINDE Abhay Krishna,IND,14,LEUNG Tin Ching,HKG,15,LEUNG Tin Ching
Preliminary 128,YAN Yinghui,CHN,15,N/A,N/A,N/A,YAN Yinghui
Preliminary 128,COLLEAU Charles,FRA,15,N/A,N/A,N/A,COLLEAU Charles
Preliminary 128,STREETS Kaito,JPN,15,DECSI Tamas,HUN,8,STREETS Kaito
Preliminary 128,SCHICKELE Florian,FRA,15,N/A,N/A,N/A,SCHICKELE Florian
Preliminary 128,YOSHIDA Kento,JPN,15,N/A,N/A,N/A,YOSHIDA Kento
Preliminary 128,REA Mattia,ITA,15,N/A,N/A,N/A,REA Mattia
Preliminary 128,SEEFELD Eric Simon,GER,15,N/A,N/A,N/A,SEEFELD Eric Simon
Preliminary 128,MATSUNAGA Kengo,JPN,12,MAMUTOV Sherzod,UZB,15,MAMUTOV Sherzod
Preliminary 128,NERI Matteo,ITA,15,N/A,N/A,N/A,NERI Matteo
Preliminary 128,GEMESI Csanad,HUN,15,N/A,N/A,N/A,GEMESI Csanad
Preliminary 128,JUNG Jaeseung,KOR,7,YAGODKA Andriy,UKR,15,YAGODKA Andriy
Preliminary 128,SHIRAI Hiromu,JPN,15,N/A,N/A,N/A,SHIRAI Hiromu
Preliminary 128,PARK Sangwon,KOR,15,N/A,N/A,N/A,PARK Sangwon
Preliminary 128,DO Gyeongdong,KOR,15,N/A,N/A,N/A,DO Gyeongdong
Preliminary 128,HERNANDEZ CABALLERO Andres,ESP,14,JEON Donghwan,KOR,15,JEON Donghwan
Preliminary 128,SCHLAFFER Leon,GER,9,NABIYEV Zhanat,KAZ,15,NABIYEV Zhanat
Preliminary 128,TSAP Yuriy,UKR,15,N/A,N/A,N/A,TSAP Yuriy
Preliminary 128,HEATHCOCK Antonio,USA,15,N/A,N/A,N/A,HEATHCOCK Antonio
