Rank,Points,Name,Age,Nationality
1,48,OH Sanguk,28,KR
2,39,BAZADZE Sandro,31,GE
3,30,NERI Matteo,26,IT
3,30,SZILAGYI Aron,35,HU
5,21,BIBI Eliott,25,FR
6,21,PATRICE Sebastien,25,FR
7,21,KIM Junho,31,KR
8,21,HEATHCOCK Colin,19,US
9,12,GU Bongil,36,KR
10,12,SAMELE Luigi,37,IT
11,12,CURATOLI Luca,30,IT
12,12,TEODOSIU Iulian,30,RO
13,12,PAKDAMAN Ali,34,IR
14,12,MACKIEWICZ Andrew,29,US
15,12,NUCCIO Riccardo,33,IT
16,12,YAGODKA Andriy,36,UA
17,6,DERSHWITZ Eli,29,US
18,6,SZABO Matyas,33,DE
19,6,ELSISSY Ziad,30,EG
20,6,HWANG Hyunho,24,KR
21,6,TORRE Pietro,23,IT
22,6,KOKUBO Mao,22,JP
22,6,SUNG Hyeonmo,25,KR
24,6,DI TELLA Pascual Maria,29,AR
24,6,KACZKOWSKI Krzysztof,27,PL
26,6,REPETTI Giovanni,36,IT
27,6,ARFA Fares,30,CA
28,6,LIANG Jianhao,28,CN
29,6,DEARY William,27,GB
30,6,SARON Mitchell,24,US
31,6,HA Hansol,31,KR
32,6,HOSHINO Kento,27,JP
33,3,APITHY Bolade,39,FR
34,3,PIANFETTI Maxime,26,FR
35,3,SZATMARI Andras,32,HU
36,3,KIM Junghwan,41,KR
37,3,FERJANI Ahmed,24,TN
37,3,YILDIRIM Enver,29,TR
39,3,LAMBERT Maxence,31,FR
40,3,KINDLER Frederic,26,DE
41,3,CAUCHON Francois,25,CA
42,3,DODDO Andrew,26,US
43,3,PATRICE Jean-Philippe,28,FR
44,3,TOKUNAN Kenta,37,JP
45,3,BONAH Raoul,26,DE
46,3,BERRE' Enrico,32,IT
46,3,COLLEAU Charles,29,FR
48,3,TSAP Yuriy,32,UA
49,3,HEATHCOCK Antonio,22,US
50,3,ILIASZ Nicolas,33,HU
51,3,HO Sze Long Aaron,29,HK
52,3,BRAVO Inaki,27,ES
53,3,DO Gyeongdong,25,KR
54,3,SARKISSYAN Artyom,25,KZ
55,3,YOSHIDA Kento,32,JP
56,3,KIM Jaewon,24,KR
57,3,DUBARRY Baptiste,28,FR
58,3,NGUYEN Van Quyet,27,VN
59,3,FERNANDEZ BLANCO Oscar,27,ES
59,3,SHIRAI Hiromu,29,JP
61,3,SEEFELD Eric Simon,23,DE
62,3,ZMAU Alexandru,23,RO
63,3,TSUBO Hayato,22,JP
64,3,LEUNG Tin Ching,23,HK
65,1.5,GEMESI Csanad,38,HU
66,1.5,BAE Kyungrok,26,KR
67,1.5,MORRILL William,18,US
68,1.5,YAN Yinghui,27,CN
69,1.5,REA Mattia,23,IT
70,1.5,KURALBEKULY Bakdaulet,25,KZ
70,1.5,PARK Junyeong,29,KR
72,1.5,PARK Sangwon,24,KR
73,1.5,DOLEGIEWICZ Filip,24,US
74,1.5,CAVALIERE Dario,28,IT
75,1.5,XU Yingming,33,CN
76,1.5,SHEN Chenpeng,23,CN
77,1.5,SCHICKELE Florian,25,FR
78,1.5,KIM Byungsoo,22,KR
79,1.5,JEON Donghwan,24,KR
80,1.5,TSUMORI Shido,21,JP
81,1.5,LIN Xiao,24,CN
82,1.5,BOUREAU Paco,24,FR
83,1.5,KIM Giwon,29,KR
84,1.5,KATO Hibiki,23,JP
85,1.5,ANNIC Edern,29,FR
86,1.5,ALSHAMLAN Yousef,26,KW
87,1.5,OLLIVIER Leandre,26,FR
88,1.5,ABDAZOV Islambek,19,UZ
88,1.5,LOW Ho Tin,33,HK
90,1.5,MAMUTOV Sherzod,23,UZ
91,1.5,STREETS Kaito,31,JP
92,1.5,NABIYEV Zhanat,24,KZ
93,1.5,WILLIAMS Grant,28,US
94,1.5,HIWATASHI Reo,22,JP
95,1.5,SONG Seungheon,26,KR
96,1.5,SATTARKHAN Nazarbay,27,KZ
97,0.75,MARCIANO Giorgio,23,IT
98,0.75,FIORETTO Luca,24,IT
99,0.75,SHINDE Abhay Krishna,23,IN
100,0.75,COHEN Josef,26,US
