Round,Fencer A Name,Fencer A Country,Fencer A Score,Fencer B Name,Fencer B Country,Fencer B Score,Winner
Preliminary 128,MATEEV Andri Nikolaysson,ISL,15,N/A,N/A,N/A,MATEEV Andri Nikolaysson
Preliminary 128,LEE Dohun,KOR,15,BURGUNDER Quinten,USA,12,LEE Dohun
Preliminary 128,CHANG Chi Hin Cyrus,HKG,15,N/A,N/A,N/A,CHANG Chi Hin Cyrus
Preliminary 128,BONSANTO Francesco,ITA,15,N/A,N/A,N/A,BONSANTO Francesco
Preliminary 128,PARK Taeyoung,KOR,15,N/A,N/A,N/A,PARK Taeyoung
Preliminary 128,YU Sugwan,KOR,15,N/A,N/A,N/A,YU Sugwan
Preliminary 128,MATSUNAGA Kengo,JPN,15,N/A,N/A,N/A,MATSUNAGA Kengo
Preliminary 128,PARK Hajun,KOR,15,N/A,N/A,N/A,PARK Hajun
Preliminary 128,HA Hansol,KOR,15,N/A,N/A,N/A,HA Hansol
Preliminary 128,LIM Jaeyoon,KOR,15,FERJANI Ahmed,TUN,13,LIM Jaeyoon
Preliminary 128,BOUREAU Paco,FRA,15,N/A,N/A,N/A,BOUREAU Paco
Preliminary 128,FERNANDEZ BLANCO Oscar,ESP,15,N/A,N/A,N/A,FERNANDEZ BLANCO Oscar
Preliminary 128,WANG Nicolas,USA,15,N/A,N/A,N/A,WANG Nicolas
Preliminary 128,ESCUETA Antonio,USA,15,N/A,N/A,N/A,ESCUETA Antonio
Preliminary 128,JUNG Jaeseung,KOR,15,BROWN Alex,AUS,14,JUNG Jaeseung
Preliminary 128,DOLEGIEWICZ Filip,USA,15,N/A,N/A,N/A,DOLEGIEWICZ Filip
Preliminary 128,HYUN Jun,KOR,15,N/A,N/A,N/A,HYUN Jun
Preliminary 128,MASTRULLO Marco,ITA,13,TSUBO Hayato,JPN,15,TSUBO Hayato
Preliminary 128,ABDELAAL Mohamed,EGY,15,N/A,N/A,N/A,ABDELAAL Mohamed
Preliminary 128,RIKITAKE Yuto,JPN,15,N/A,N/A,N/A,RIKITAKE Yuto
Preliminary 128,HEATHCOCK Antonio,USA,15,N/A,N/A,N/A,HEATHCOCK Antonio
Preliminary 128,DECSI Tamas,HUN,15,N/A,N/A,N/A,DECSI Tamas
Preliminary 128,BONAH Luis,GER,13,HORVATH Gergo,HUN,15,HORVATH Gergo
Preliminary 128,GARRIGUE Remi,FRA,15,N/A,N/A,N/A,GARRIGUE Remi
Preliminary 128,PARK Sangwon,KOR,15,N/A,N/A,N/A,PARK Sangwon
Preliminary 128,NABIYEV Zhanat,KAZ,4,FOTOUHI Mohammad,IRI,15,FOTOUHI Mohammad
Preliminary 128,SATTARKHAN Nazarbay,KAZ,15,N/A,N/A,N/A,SATTARKHAN Nazarbay
Preliminary 128,MARTINE Thomas,FRA,15,N/A,N/A,N/A,MARTINE Thomas
Preliminary 128,NERI Matteo,ITA,15,N/A,N/A,N/A,NERI Matteo
Preliminary 128,HONG Dongyeol,KOR,15,N/A,N/A,N/A,HONG Dongyeol
Preliminary 128,DAN Wei Zuo,SGP,12,SEEFELD Eric Simon,GER,15,SEEFELD Eric Simon
Preliminary 128,SHEN Chenpeng,CHN,15,N/A,N/A,N/A,SHEN Chenpeng
Preliminary 128,MADRIGAL Santiago,ESP,15,N/A,N/A,N/A,MADRIGAL Santiago
Preliminary 128,EMURA Ryohei,JPN,15,WIRIYATANGSAKUL Panachai,THA,8,EMURA Ryohei
Preliminary 128,YAGODKA Andriy,UKR,15,N/A,N/A,N/A,YAGODKA Andriy
Preliminary 128,CAVALIERE Dario,ITA,15,N/A,N/A,N/A,CAVALIERE Dario
Preliminary 128,LIM Giryong,KOR,15,N/A,N/A,N/A,LIM Giryong
Preliminary 128,BEN AVRAM Lev,USA,15,N/A,N/A,N/A,BEN AVRAM Lev
Preliminary 128,SARKISSYAN Artyom,KAZ,15,YOON Sunghyun,KOR,12,SARKISSYAN Artyom
Preliminary 128,TORRE Pietro,ITA,15,N/A,N/A,N/A,TORRE Pietro
Preliminary 128,KURALBEKULY Bakdaulet,KAZ,15,N/A,N/A,N/A,KURALBEKULY Bakdaulet
Preliminary 128,CHUPRAKOV Artur,KAZ,15,ALMUTAIRI Adel,KSA,12,CHUPRAKOV Artur
Preliminary 128,KIM Byungsoo,KOR,15,N/A,N/A,N/A,KIM Byungsoo
Preliminary 128,RABB Krisztian,HUN,15,N/A,N/A,N/A,RABB Krisztian
Preliminary 128,SUNG Hyeonmo,KOR,15,N/A,N/A,N/A,SUNG Hyeonmo
Preliminary 128,MIGNUZZI Giacomo,ITA,15,N/A,N/A,N/A,MIGNUZZI Giacomo
Preliminary 128,BAHER ARASBARAN Farzad,IRI,12,ALAMR Mohammed,KSA,15,ALAMR Mohammed
Preliminary 128,TOKUNAN Kenta,JPN,15,N/A,N/A,N/A,TOKUNAN Kenta
Preliminary 128,KIM Junhyeong,KOR,15,N/A,N/A,N/A,KIM Junhyeong
Preliminary 128,DAI Rui,CHN,15,PONGDEE Pakarn,THA,8,DAI Rui
Preliminary 128,WANG Tianhao,CHN,15,N/A,N/A,N/A,WANG Tianhao
Preliminary 128,BIBI Eliott,FRA,15,N/A,N/A,N/A,BIBI Eliott
Preliminary 128,CHAN Lok Hei Royce,HKG,15,N/A,N/A,N/A,CHAN Lok Hei Royce
Preliminary 128,LEE Hyeokjun,KOR,15,N/A,N/A,N/A,LEE Hyeokjun
Preliminary 128,KIM Jaewon,KOR,9,TSUMORI Shido,JPN,15,TSUMORI Shido
Preliminary 128,HERNANDEZ CABALLERO Andres,ESP,15,N/A,N/A,N/A,HERNANDEZ CABALLERO Andres
Preliminary 128,SCHLAFFER Leon,GER,15,N/A,N/A,N/A,SCHLAFFER Leon
Preliminary 128,STREETS Kaito,JPN,15,N/A,N/A,N/A,STREETS Kaito
Preliminary 128,LAMBERT Maxence,FRA,15,N/A,N/A,N/A,LAMBERT Maxence
Preliminary 128,KATO Hibiki,JPN,15,N/A,N/A,N/A,KATO Hibiki
Preliminary 128,BERRE' Enrico,ITA,15,N/A,N/A,N/A,BERRE' Enrico
Preliminary 128,LOW Ho Tin,HKG,15,N/A,N/A,N/A,LOW Ho Tin
Preliminary 128,YU Sugeun,KOR,14,HIWATASHI Reo,JPN,15,HIWATASHI Reo
Preliminary 128,SEITZ Tom,FRA,15,N/A,N/A,N/A,SEITZ Tom
Preliminary 64,MATEEV Andri Nikolaysson,ISL,15,LEE Dohun,KOR,13,MATEEV Andri Nikolaysson
Preliminary 64,CHANG Chi Hin Cyrus,HKG,15,BONSANTO Francesco,ITA,9,CHANG Chi Hin Cyrus
Preliminary 64,PARK Taeyoung,KOR,15,YU Sugwan,KOR,6,PARK Taeyoung
Preliminary 64,MATSUNAGA Kengo,JPN,15,PARK Hajun,KOR,10,MATSUNAGA Kengo
Preliminary 64,HA Hansol,KOR,15,LIM Jaeyoon,KOR,10,HA Hansol
Preliminary 64,BOUREAU Paco,FRA,15,FERNANDEZ BLANCO Oscar,ESP,4,BOUREAU Paco
Preliminary 64,WANG Nicolas,USA,15,ESCUETA Antonio,USA,8,WANG Nicolas
Preliminary 64,JUNG Jaeseung,KOR,6,DOLEGIEWICZ Filip,USA,15,DOLEGIEWICZ Filip
Preliminary 64,HYUN Jun,KOR,7,TSUBO Hayato,JPN,15,TSUBO Hayato
Preliminary 64,ABDELAAL Mohamed,EGY,15,RIKITAKE Yuto,JPN,6,ABDELAAL Mohamed
Preliminary 64,HEATHCOCK Antonio,USA,15,DECSI Tamas,HUN,14,HEATHCOCK Antonio
Preliminary 64,HORVATH Gergo,HUN,9,GARRIGUE Remi,FRA,15,GARRIGUE Remi
Preliminary 64,PARK Sangwon,KOR,15,FOTOUHI Mohammad,IRI,12,PARK Sangwon
Preliminary 64,SATTARKHAN Nazarbay,KAZ,11,MARTINE Thomas,FRA,15,MARTINE Thomas
Preliminary 64,NERI Matteo,ITA,15,HONG Dongyeol,KOR,5,NERI Matteo
Preliminary 64,SEEFELD Eric Simon,GER,6,SHEN Chenpeng,CHN,15,SHEN Chenpeng
Preliminary 64,MADRIGAL Santiago,ESP,15,EMURA Ryohei,JPN,12,MADRIGAL Santiago
Preliminary 64,YAGODKA Andriy,UKR,15,CAVALIERE Dario,ITA,13,YAGODKA Andriy
Preliminary 64,LIM Giryong,KOR,6,BEN AVRAM Lev,USA,15,BEN AVRAM Lev
Preliminary 64,SARKISSYAN Artyom,KAZ,15,TORRE Pietro,ITA,12,SARKISSYAN Artyom
Preliminary 64,KURALBEKULY Bakdaulet,KAZ,15,CHUPRAKOV Artur,KAZ,10,KURALBEKULY Bakdaulet
Preliminary 64,KIM Byungsoo,KOR,3,RABB Kris Posting Krisztian,HUN,15,RABB Krisztian
Preliminary 64,SUNG Hyeonmo,KOR,15,MIGNUZZI Giacomo,ITA,13,SUNG Hyeonmo
Preliminary 64,ALAMR Mohammed,KSA,5,TOKUNAN Kenta,JPN,15,TOKUNAN Kenta
