Rank,Points,Name,Age,Nationality
1,48,ELSISSY Ziad,30,EG
2,39,BAZADZE Sandro,31,GE
3,30,DOLEGIEWICZ Filip,24,US
3,30,HEATHCOCK Colin,19,US
5,21,OH Sanguk,28,KR
6,21,PATRICE Sebastien,25,FR
7,21,APITHY Bolade,39,FR
8,21,BAHGAT Adham,22,EG
9,12,PAKDAMAN Ali,34,IR
10,12,SZABO Matyas,33,DE
11,12,PIANFETTI Maxime,26,FR
12,12,FERJANI Fares,27,TN
13,12,CURATOLI Luca,30,IT
14,12,GU Bongil,36,KR
15,12,PATRICE Jean-Philippe,28,FR
16,12,YAGODKA Andriy,36,UA
17,6,DERSHWITZ Eli,29,US
18,6,YOSHIDA Kento,32,JP
19,6,GALLO Michele,24,IT
20,6,DO Gyeongdong,25,KR
20,6,KINDLER Frederic,26,DE
22,6,KOKUBO Mao,22,JP
23,6,ARFA Fares,30,CA
23,6,SARON Mitchell,24,US
25,6,REPETTI Giovanni,36,IT
26,6,ILIASZ Nicolas,33,HU
27,6,YILDIRIM Enver,29,TR
28,6,REA Mattia,23,IT
29,6,JEONG Hangil,26,KR
30,6,SHEN Chenpeng,23,CN
31,6,HA Hansol,31,KR
32,6,MARTINE Thomas,26,FR
33,3,SAMELE Luigi,37,IT
34,3,RAHBARI Mohammad,33,IR
35,3,MORRILL William,18,US
36,3,OLLIVIER Leandre,26,FR
37,3,METHNER Philipp,21,DE
38,3,MATEEV Andri Nikolaysson,25,IS
39,3,MADRIGAL Santiago,21,ES
40,3,TOKUNAN Kenta,37,JP
41,3,KIM Junhyeong,22,KR
42,3,HERNANDEZ CABALLERO Andres,29,ES
43,3,KURALBEKULY Bakdaulet,25,KZ
44,3,GARRIGUE Remi,20,FR
45,3,PARK Sangwon,24,KR
46,3,PARK Taeyoung,22,KR
47,3,KATO Hibiki,23,JP
48,3,HEATHCOCK Antonio,22,US
49,3,CHAN Lok Hei Royce,21,HK
49,3,RABB Krisztian,23,HU
51,3,WANG Nicolas,17,US
52,3,SUNG Hyeonmo,25,KR
53,3,NERI Matteo,26,IT
54,3,BERRE' Enrico,32,IT
55,3,CHANG Chi Hin Cyrus,32,HK
56,3,ABDELAAL Mohamed,27,EG
57,3,WANG Tianhao,20,CN
58,3,BOUREAU Paco,24,FR
59,3,BEN AVRAM Lev,21,US
60,3,MATSUNAGA Kengo,26,JP
61,3,SARKISSYAN Artyom,25,KZ
61,3,STREETS Kaito,31,JP
63,3,TSUBO Hayato,22,JP
64,3,HIWATASHI Reo,22,JP
65,1.5,SEITZ Tom,31,FR
66,1.5,HYUN Jun,22,KR
67,1.5,TORRE Pietro,23,IT
68,1.5,SCHLAFFER Leon,24,DE
69,1.5,PARK Hajun,23,KR
70,1.5,LIM Giryong,24,KR
71,1.5,FERNANDEZ BLANCO Oscar,27,ES
72,1.5,BIBI Eliott,25,FR
73,1.5,RIKITAKE Yuto,23,JP
74,1.5,CAVALIERE Dario,28,IT
75,1.5,BONSANTO Francesco,30,IT
76,1.5,LOW Ho Tin,33,HK
77,1.5,HONG Dongyeol,24,KR
78,1.5,MIGNUZZI Giacomo,26,IT
79,1.5,ESCUETA Antonio,22,US
80,1.5,LEE Hyeokjun,22,KR
81,1.5,KIM Byungsoo,22,KR
82,1.5,DECSI Tamas,42,HU
83,1.5,SATTARKHAN Nazarbay,27,KZ
84,1.5,LAMBERT Maxence,31,FR
85,1.5,YU Sugwan,24,KR
86,1.5,FOTOUHI Mohammad,34,IR
87,1.5,JUNG Jaeseung,30,KR
88,1.5,LEE Dohun,22,KR
89,1.5,EMURA Ryohei,24,JP
90,1.5,SEEFELD Eric Simon,23,DE
91,1.5,ALAMR Mohammed,21,SA
92,1.5,DAI Rui,25,CN
93,1.5,LIM Jaeyoon,25,KR
93,1.5,TSUMORI Shido,21,JP
95,1.5,CHUPRAKOV Artur,22,KZ
96,1.5,HORVATH Gergo,23,HU
97,0.75,ALMUTAIRI Adel,26,SA
97,0.75,BONAH Luis,28,DE
99,0.75,KIM Jaewon,24,KR
100,0.75,FERJANI Ahmed,24,TN
