Round,Fencer A Name,Fencer A Country,Fencer A Score,Fencer B Name,Fencer B Country,Fencer B Score,Winner
Preliminary 256,TSAP Yuriy,UKR,15,N/A,N/A,N/A,TSAP Yuriy
Preliminary 256,KATO Hibiki,JPN,14,COZMULEANU Codrin,ROU,15,COZMULEANU Codrin
Preliminary 256,SZCZEPANIK Piotr,POL,15,N/A,N/A,N/A,SZCZEPANIK Piotr
Preliminary 256,KINDLER Frederic,GER,15,N/A,N/A,N/A,KINDLER Frederic
Preliminary 256,NABIYEV Zhanat,KAZ,15,N/A,N/A,N/A,NABIYEV Zhanat
Preliminary 256,KUTCHUKHIDZE Lasha,GEO,11,REN Junming,HKG,15,REN Junming
Preliminary 256,FLOREZ Carlos,ESP,15,ALVAREZ Ricardo,CHI,8,FLOREZ Carlos
Preliminary 256,HEATHCOCK Antonio,USA,15,N/A,N/A,N/A,HEATHCOCK Antonio
Preliminary 256,HOSHINO Kento,JPN,15,N/A,N/A,N/A,HOSHINO Kento
Preliminary 256,MOGG Leopold,GER,6,ALQUDIHI Ahmed,KSA,15,ALQUDIHI Ahmed
Preliminary 256,KUZMIN Leon,GER,15,N/A,N/A,N/A,KUZMIN Leon
Preliminary 256,REA Mattia,ITA,15,N/A,N/A,N/A,REA Mattia
Preliminary 256,KUMARESAN PADMA Gisho Nidhi,IND,15,N/A,N/A,N/A,KUMARESAN PADMA Gisho Nidhi
Preliminary 256,GIRAULT Evann Jean Abba,NIG,15,N/A,N/A,N/A,GIRAULT Evann Jean Abba
Preliminary 256,WONG Tzer Chyuan,MAS,10,FERNANDEZ BLANCO Oscar,ESP,15,FERNANDEZ BLANCO Oscar
Preliminary 256,DECSI Tamas,HUN,15,N/A,N/A,N/A,DECSI Tamas
Preliminary 256,DEARY William,GBR,15,N/A,N/A,N/A,DEARY William
Preliminary 256,ZAHEDI Nima,IRI,7,PEKELMAN Bruno,BRA,15,PEKELMAN Bruno
Preliminary 256,MASTRULLO Marco,ITA,15,N/A,N/A,N/A,MASTRULLO Marco
Preliminary 256,SCHNEIDER Benno,GER,15,N/A,N/A,N/A,SCHNEIDER Benno
Preliminary 256,ALMUTAIRI Adel,KSA,15,N/A,N/A,N/A,ALMUTAIRI Adel
Preliminary 256,TCHEISHVILI Nikoloz,GEO,15,N/A,N/A,N/A,TCHEISHVILI Nikoloz
Preliminary 256,SATTARKHAN Nazarbay,KAZ,15,MAMUTOV Sherzod,UZB,4,SATTARKHAN Nazarbay
Preliminary 256,YAGODKA Andriy,UKR,15,N/A,N/A,N/A,YAGODKA Andriy
Preliminary 256,SARKISSYAN Artyom,KAZ,15,N/A,N/A,N/A,SARKISSYAN Artyom
Preliminary 256,DAULETNAZAROV Azizbek,UZB,5,BONAH Luis,GER,15,BONAH Luis
Preliminary 256,TSUMORI Shido,JPN,15,N/A,N/A,N/A,TSUMORI Shido
Preliminary 256,SEITZ Tom,FRA,15,N/A,N/A,N/A,SEITZ Tom
Preliminary 256,GARRIGUE Remi,FRA,15,N/A,N/A,N/A,GARRIGUE Remi
Preliminary 256,LOW Ho Tin,HKG,15,N/A,N/A,N/A,LOW Ho Tin
Preliminary 256,HO Sze Long Aaron,HKG,15,CHAN Lok Hei Royce,HKG,14,HO Sze Long Aaron
Preliminary 256,ZMAU Alexandru,ROU,15,N/A,N/A,N/A,ZMAU Alexandru
Preliminary 256,LIN Xiao,CHN,15,N/A,N/A,N/A,LIN Xiao
Preliminary 256,ELARABY Mazen,EGY,15,KAKAURIDZE Goga,GEO,9,ELARABY Mazen
Preliminary 256,RABB Krisztian,HUN,15,N/A,N/A,N/A,RABB Krisztian
Preliminary 256,METHNER Philipp,GER,15,N/A,N/A,N/A,METHNER Philipp
Preliminary 256,MACKIEWICZ Andrew,USA,15,N/A,N/A,N/A,MACKIEWICZ Andrew
Preliminary 256,CIDU Casian,ROU,15,N/A,N/A,N/A,CIDU Casian
