Round,Fencer A Name,Fencer A Country,Fencer A Score,Fencer B Name,Fencer B Country,Fencer B Score,Winner
Preliminary 128,NUCCIO Riccardo,ITA,15,N/A,N/A,N/A,NUCCIO Riccardo
Preliminary 128,MAMUTOV Sherzod,UZB,15,YAMAN Furkan,TUR,13,MAMUTOV Sherzod
Preliminary 128,FOTOUHI Mohammad,IRI,15,CHANG Chi Hin Cyrus,HKG,9,FOTOUHI Mohammad
Preliminary 128,SEE Jorelle Zhuo Rui,SGP,10,MANDOV Ivan,BUL,15,MANDOV Ivan
Preliminary 128,DEARY William,GBR,15,N/A,N/A,N/A,DEARY William
Preliminary 128,KAFATARIDIS Dimitrios,GRE,8,STATSENKO Oleksiy,UKR,15,STATSENKO Oleksiy
Preliminary 128,KUMARESAN PADMA Gisho Nidhi,IND,15,MEDINA Hender,VEN,7,KUMARESAN PADMA Gisho Nidhi
Preliminary 128,KRAJNC Peter,SLO,15,N/A,N/A,N/A,KRAJNC Peter
Preliminary 128,DRAGOMIR George,ROU,15,N/A,N/A,N/A,DRAGOMIR George
Preliminary 128,CORREA VILA Luis,COL,15,AYALA Julian,MEX,8,CORREA VILA Luis
Preliminary 128,WONG Tzer Chyuan,MAS,11,ROMO Brandon,MEX,15,ROMO Brandon
Preliminary 128,LIANG Jianhao,CHN,15,N/A,N/A,N/A,LIANG Jianhao
Preliminary 128,KOKUBO Mao,JPN,15,BOUNCHADA Zacharia,ALG,12,KOKUBO Mao
Preliminary 128,MONSALVA Roberto,CHI,5,SINGH Karan Singh,IND,15,SINGH Karan Singh
Preliminary 128,LOH Lucius Kai Wei,SGP,15,KIRIMLIDIS Michalis,IRL,11,LOH Lucius Kai Wei
Preliminary 128,SATTARKHAN Nazarbay,KAZ,15,N/A,N/A,N/A,SATTARKHAN Nazarbay
Preliminary 128,STREETS Kaito,JPN,15,N/A,N/A,N/A,STREETS Kaito
Preliminary 128,KALENDER Muhammed Furkan,TUR,15,RAKHMANALI Mukhamedali,KAZ,6,KALENDER Muhammed Furkan
Preliminary 128,MATEEV Andri Nikolaysson,ISL,15,AL-NASSER Mahmoud,JOR,10,MATEEV Andri Nikolaysson
Preliminary 128,BAHAMONDE Manuel,CHI,15,WESTERN REYES Rafael,PUR,10,BAHAMONDE Manuel
Preliminary 128,DESROSIERS Olivier,CAN,15,N/A,N/A,N/A,DESROSIERS Olivier
Preliminary 128,KONTOEIDIS Panagiotis,GRE,13,GIRAULT Evann Jean Abba,NIG,15,GIRAULT Evann Jean Abba
Preliminary 128,BRAVO Inaki,ESP,15,RAIKIN Dimitar,BUL,6,BRAVO Inaki
Preliminary 128,NABIYEV Zhanat,KAZ,15,N/A,N/A,N/A,NABIYEV Zhanat
Preliminary 128,FERNANDEZ BLANCO Oscar,ESP,15,N/A,N/A,N/A,FERNANDEZ BLANCO Oscar
Preliminary 128,ALMANSAF Abdullah,KSA,12,STASIAK Olaf,POL,15,STASIAK Olaf
Preliminary 128,TSAP Yuriy,UKR,15,ALAMR Mohammed,KSA,11,TSAP Yuriy
Preliminary 128,ROMERO Eliecer,VEN,15,N/A,N/A,N/A,ROMERO Eliecer
Preliminary 128,FRUMGARZTS David,ISR,15,DICK Jadryn,IRL,10,FRUMGARZTS David
Preliminary 128,EVANS Detroit,NZL,5,MOATAZ Adham,EGY,15,MOATAZ Adham
Preliminary 128,BONAH Luis,GER,15,ABDULKAREEM Mohammed,KUW,11,BONAH Luis
Preliminary 128,SARKISSYAN Artyom,KAZ,15,N/A,N/A,N/A,SARKISSYAN Artyom
Preliminary 128,ALSHAMLAN Yousef,KUW,15,N/A,N/A,N/A,ALSHAMLAN Yousef
Preliminary 128,ARCHVADZE Vakhtangi,GEO,15,DE ROBBIO Francesco,CRO,13,ARCHVADZE Vakhtangi
Preliminary 128,HERNANDEZ CABALLERO Andres,ESP,15,CACEK Matyas,CZE,11,HERNANDEZ CABALLERO Andres
Preliminary 128,QUINTERO Jose,VEN,7,SARON Mitchell,USA,15,SARON Mitchell
Preliminary 128,CIDU Matei,ROU,15,N/A,N/A,N/A,CIDU Matei
Preliminary 128,FILEV Viktor,BUL,15,FERJANI Ahmed,TUN,7,FILEV Viktor
