Rank,Points,Name,Age,Nationality
1,80,DERSHWITZ Eli,29,US
2,65,BAZADZE Sandro,31,GE
3,50,ELSISSY Ziad,30,EG
3,50,SZILAGYI Aron,35,HU
5,35,GALLO Michele,24,IT
6,35,YOSHIDA Kento,32,JP
7,35,HRYCIUK Szymon,22,PL
8,35,HA Hansol,31,KR
9,20,SAMELE Luigi,37,IT
10,20,PAKDAMAN Ali,34,IR
11,20,SZABO Matyas,33,DE
12,20,CURATOLI Luca,30,IT
13,20,GORDON Shaul,30,CA
14,20,DECSI Tamas,42,HU
15,20,HO Sze Long Aaron,29,HK
16,20,SARON Mitchell,24,US
17,10,PIANFETTI Maxime,26,FR
18,10,SZATMARI Andras,32,HU
19,10,OH Sanguk,28,KR
20,10,TEODOSIU Iulian,30,RO
21,10,YILDIRIM Enver,29,TR
22,10,HOSHINO Kento,27,JP
23,10,GU Bongil,36,KR
24,10,HEATHCOCK Colin,19,US
25,10,LIN Xiao,24,CN
25,10,MOATAZ Medhat,24,EG
27,10,BONAH Raoul,26,DE
28,10,FERJANI Fares,27,TN
29,10,AYMURATOV Musa,20,UZ
30,10,ALSHAMLAN Yousef,26,KW
31,10,SATTARKHAN Nazarbay,27,KZ
32,10,CIDU Matei,24,RO
33,5,APITHY Bolade,39,FR
34,5,KIM Junho,31,KR
35,5,PATRICE Sebastien,25,FR
36,5,GEMESI Csanad,38,HU
37,5,AMER Mohamed,27,EG
38,5,SHEN Chenpeng,23,CN
39,5,RAHBARI Mohammad,33,IR
40,5,HUMEN Vasyl,23,UA
41,5,YAGODKA Andriy,36,UA
42,5,NUCCIO Riccardo,33,IT
43,5,STREETS Kaito,31,JP
44,5,KACZKOWSKI Krzysztof,27,PL
45,5,DRAGOMIR George,26,RO
46,5,KODIROV Zuhriddin,18,UZ
47,5,DEARY William,27,GB
48,5,DESROSIERS Olivier,20,CA
49,5,SZCZEPANIK Piotr,24,PL
50,5,DODDO Andrew,26,US
51,5,LIANG Jianhao,28,CN
52,5,KINDLER Frederic,26,DE
53,5,FOTOUHI Mohammad,34,IR
54,5,MOATAZ Adham,22,EG
55,5,ARFA Fares,30,CA
55,5,MATEEV Andri Nikolaysson,25,IS
57,5,SINGH Karan Singh,26,IN
58,5,TSAP Yuriy,32,UA
59,5,KUMARESAN PADMA Gisho Nidhi,32,IN
60,5,NITU Radu,20,RO
61,5,STASIAK Olaf,22,PL
62,5,BRAVO Inaki,27,ES
63,5,BAZADZE Beka,35,GE
64,5,BONAH Luis,28,DE
65,2.5,SARKISSYAN Artyom,25,KZ
66,2.5,THAPAR Vishal,31,IN
67,2.5,NABIYEV Zhanat,24,KZ
68,2.5,FERNANDEZ BLANCO Oscar,27,ES
69,2.5,ZEA Gibran,28,MX
70,2.5,DI TELLA Pascual Maria,29,AR
71,2.5,KRAJNC Peter,21,SI
72,2.5,ROMERO Eliecer,30,VE
73,2.5,KOKUBO Mao,22,JP
74,2.5,CUELLAR Sebastian,28,CO
75,2.5,BAHER ARASBARAN Farzad,31,IR
76,2.5,FRUMGARZTS David,21,IL
77,2.5,MANDOV Ivan,27,BG
78,2.5,MADRIGAL Santiago,21,ES
79,2.5,HERNANDEZ CABALLERO Andres,29,ES
80,2.5,GIRAULT Evann Jean Abba,20,NE
81,2.5,BIBI Eliott,25,FR
82,2.5,STATSENKO Oleksiy,31,UA
83,2.5,PEKELMAN Bruno,24,BR
84,2.5,LOH Lucius Kai Wei,26,SG
85,2.5,CHOW Chung Hei,23,HK
86,2.5,MAMUTOV Sherzod,23,UZ
87,2.5,LOW Ho Tin,33,HK
88,2.5,ARCHVADZE Vakhtangi,23,GE
89,2.5,KALENDER Muhammed Furkan,22,TR
90,2.5,PALACIOS MURILLO Mario Alberto,29,CO
91,2.5,CORREA VILA Luis,29,CO
92,2.5,FILEV Viktor,21,BG
93,2.5,STOYCHEV Todor,21,BG
94,2.5,ANASIZ Muhammed,26,TR
95,2.5,ROMO Brandon,24,MX
96,2.5,BAHAMONDE Manuel,30,CL
97,1.25,WESTERN REYES Rafael,34,PR
98,1.25,WONG Tzer Chyuan,31,MY
99,1.25,TCHEISHVILI Nikoloz,24,GE
100,1.25,YAN Yinghui,27,CN
