Rk.,Name,Age,V,M,TD,TR,Ind.,Diff.,Q
1,SARON Mitchell,24,6,6,30,3,1,27,Qualified
2,PATRICE Sebastien,25,6,6,30,4,1,26,Qualified
3,TORRE Pietro,23,6,6,30,5,1,25,Qualified
4,BIBI Eliott,25,6,6,30,8,1,22,Qualified
5,HEATHCOCK Colin,19,6,6,30,10,1,20,Qualified
5,KIM Junho,31,6,6,30,10,1,20,Qualified
5,NERI Matteo,26,6,6,30,10,1,20,Qualified
5,YILDIRIM Enver,29,6,6,30,10,1,20,Qualified
9,BONAH Raoul,26,6,6,30,11,1,19,Qualified
9,CAVALIERE Dario,28,6,6,30,11,1,19,Qualified
11,ALSHAMLAN Yousef,26,5,5,25,6,1,19,Qualified
12,DO Gyeongdong,25,6,6,30,12,1,18,Qualified
12,REPETTI Giovanni,36,6,6,30,12,1,18,Qualified
14,DODDO Andrew,26,6,6,30,13,1,17,Qualified
14,PARK Sangwon,24,6,6,30,13,1,17,Qualified
14,WILLIAMS Grant,28,6,6,30,13,1,17,Qualified
17,TSAP Yuriy,32,6,6,30,15,1,15,Qualified
18,KOKUBO Mao,22,6,6,30,17,1,13,Qualified
19,ARFA Fares,30,6,6,30,20,1,10,Qualified
20,SINGH Karan Singh,26,5,6,29,13,0.833,16,Qualified
21,LIN Xiao,24,5,6,27,11,0.833,16,Qualified
22,BERRE' Enrico,32,5,6,28,13,0.833,15,Qualified
23,LIANG Jianhao,28,5,6,29,15,0.833,14,Qualified
23,ZMAU Alexandru,23,5,6,29,15,0.833,14,Qualified
25,DEARY William,27,5,6,28,14,0.833,14,Qualified
25,ILIASZ Nicolas,33,5,6,28,14,0.833,14,Qualified
27,KEMPF Lorenz,28,5,6,27,13,0.833,14,Qualified
28,AMER Mohamed,27,5,6,28,15,0.833,13,Qualified
29,CUELLAR Sebastian,28,5,6,29,17,0.833,12,Qualified
30,MORRILL William,18,5,6,28,16,0.833,12,Qualified
30,NUCCIO Riccardo,33,5,6,28,16,0.833,12,Qualified
32,DECSI Tamas,42,5,6,27,16,0.833,11,Qualified
32,HOSHINO Kento,27,5,6,27,16,0.833,11,Qualified
32,IAM Jethro,31,5,6,27,16,0.833,11,Qualified
35,YOSHIDA Kento,32,5,6,26,15,0.833,11,Qualified
36,DOLEGIEWICZ Filip,24,5,6,28,18,0.833,10,Qualified
36,SHEN Chenpeng,23,5,6,28,18,0.833,10,Qualified
38,STREETS Kaito,31,5,6,26,16,0.833,10,Qualified
39,BAZADZE Beka,35,5,6,29,20,0.833,9,Qualified
40,SARKISSYAN Artyom,25,5,6,26,17,0.833,9,Qualified
40,YAGODKA Andriy,36,5,6,26,17,0.833,9,Qualified
42,BAHER ARASBARAN Farzad,31,5,6,27,19,0.833,8,Qualified
43,KACZKOWSKI Krzysztof,27,5,6,26,19,0.833,7,Qualified
44,FRUMGARZTS David,21,4,5,24,16,0.8,8,Qualified
45,TOKUNAN Kenta,37,4,5,23,15,0.8,8,Qualified
46,DI TELLA Pascual Maria,29,4,5,21,13,0.8,8,Qualified
47,SEEFELD Eric Simon,23,4,5,24,17,0.8,7,Qualified
48,HEATHCOCK Antonio,22,4,6,28,15,0.667,13,Qualified
49,NABIYEV Zhanat,24,4,6,27,14,0.667,13,Qualified
50,GEMESI Csanad,38,4,6,26,14,0.667,12,Qualified
51,LAMBERT Maxence,31,4,6,25,14,0.667,11,Qualified
52,YAN Yinghui,27,4,6,28,18,0.667,10,Qualified
53,MACKIEWICZ Andrew,29,4,6,27,17,0.667,10,Qualified
54,NITU Radu,20,4,6,25,15,0.667,10,Qualified
55,SEITZ Tom,31,4,6,28,19,0.667,9,Qualified
55,URSACHI Razvan,27,4,6,28,19,0.667,9,Qualified
57,ALMUTAIRI Adel,26,4,6,26,17,0.667,9,Qualified
58,FOTOUHI Mohammad,34,4,6,25,16,0.667,9,Qualified
59,STATSENKO Oleksiy,31,4,6,24,15,0.667,9,Qualified
60,GALGOCZY Tamas,28,4,6,24,16,0.667,8,Qualified
61,DINU Nicholas,23,4,6,23,15,0.667,8,Qualified
62,DRAGOMIR George,26,4,6,25,18,0.667,7,Qualified
63,SUNG Hyeonmo,25,4,6,24,17,0.667,7,Qualified
64,REA Mattia,23,4,6,23,16,0.667,7,Qualified
65,AYMURATOV Musa,20,4,6,26,20,0.667,6,Qualified
65,KUMARESAN PADMA Gisho Nidhi,32,4,6,26,20,0.667,6,Qualified
67,GORDON Shaul,30,4,6,24,18,0.667,6,Qualified
68,MOATAZ Adham,22,4,6,26,21,0.667,5,Qualified
69,CAUCHON Francois,25,4,6,25,20,0.667,5,Qualified
69,RAHBARI Mohammad,33,4,6,25,20,0.667,5,Qualified
71,BRAVO Inaki,27,4,6,27,23,0.667,4,Qualified
72,SCHNEIDER Benno,31,4,6,26,22,0.667,4,Qualified
73,GARRIGUE Remi,20,4,6,24,20,0.667,4,Qualified
73,YAMAN Furkan,18,4,6,24,20,0.667,4,Qualified
75,MADRIGAL Santiago,21,4,6,21,17,0.667,4,Qualified
76,METHNER Philipp,21,4,6,24,21,0.667,3,Qualified
77,ARMIJO Gabriel,30,4,6,22,19,0.667,3,Qualified
78,LEUNG Tin Ching,23,4,6,25,23,0.667,2,Qualified
79,BOUREAU Paco,24,4,6,23,21,0.667,2,Qualified
79,KINDLER Frederic,26,4,6,23,21,0.667,2,Qualified
81,SZCZEPANIK Piotr,24,4,6,21,19,0.667,2,Qualified
82,CABALLERO Rogelio,24,4,6,23,22,0.667,1,Qualified
82,CHANG Chi Hin Cyrus,32,4,6,23,22,0.667,1,Qualified
84,ALAMR Mohammed,21,4,6,22,21,0.667,1,Qualified
84,RABB Krisztian,23,4,6,22,21,0.667,1,Qualified
86,ANASIZ Muhammed,26,4,6,22,22,0.667,0,Qualified
87,PLATONOV Bogdan,28,4,6,22,24,0.667,-2,Qualified
88,LOW Ho Tin,33,3,5,22,13,0.6,9,Qualified
89,MASTRULLO Marco,21,3,5,22,15,0.6,7,Qualified
90,MATEEV Andri Nikolaysson,25,3,5,18,15,0.6,3,Qualified
