Round,Fencer A Name,Fencer A Country,Fencer A Score,Fencer B Name,Fencer B Country,Fencer B Score,Winner
Preliminary 256,THOMPSON Khalil,USA,15,N/A,N/A,N/A,THOMPSON Khalil
Preliminary 256,ZHAILYBAY Nurmukhammed,KAZ,14,NABIYEV Zhanat,KAZ,15,NABIYEV Zhanat
Preliminary 256,KACZKOWSKI Krzysztof,POL,15,N/A,N/A,N/A,KACZKOWSKI Krzysztof
Preliminary 256,WANG Tianhao,CHN,15,N/A,N/A,N/A,WANG Tianhao
Preliminary 256,BIBI Eliott,FRA,15,N/A,N/A,N/A,BIBI Eliott
Preliminary 256,CAUCHON Francois,CAN,15,N/A,N/A,N/A,CAUCHON Francois
Preliminary 256,CHANG Hoi Chun,HKG,15,N/A,N/A,N/A,CHANG Hoi Chun
Preliminary 256,SONG Eungyun,KOR,15,N/A,N/A,N/A,SONG Eungyun
Preliminary 256,CUELLAR Sebastian,COL,15,N/A,N/A,N/A,CUELLAR Sebastian
Preliminary 256,THOME Simon,GER,15,N/A,N/A,N/A,THOME Simon
Preliminary 256,NERI Matteo,ITA,15,N/A,N/A,N/A,NERI Matteo
Preliminary 256,SALGADO RONDON Arturo Eduardo,ARG,15,N/A,N/A,N/A,SALGADO RONDON Arturo Eduardo
Preliminary 256,RAKHMANALI Mukhamedali,KAZ,15,N/A,N/A,N/A,RAKHMANALI Mukhamedali
Preliminary 256,PEREZ MARTIN Julio Manuel,ESP,15,N/A,N/A,N/A,PEREZ MARTIN Julio Manuel
Preliminary 256,ELARABY Mazen,EGY,15,N/A,N/A,N/A,ELARABY Mazen
Preliminary 256,KINDLER Frederic,GER,15,N/A,N/A,N/A,KINDLER Frederic
Preliminary 256,JEONG Hangil,KOR,15,N/A,N/A,N/A,JEONG Hangil
Preliminary 256,NOWINOWSKI Kacper,POL,6,PECH Miklos,HUN,15,PECH Miklos
Preliminary 256,FOTOUHI Mohammad,IRI,15,N/A,N/A,N/A,FOTOUHI Mohammad
Preliminary 256,COVALIU Vlad,ROU,15,N/A,N/A,N/A,COVALIU Vlad
Preliminary 256,SATTARKHAN Nazarbay,KAZ,15,N/A,N/A,N/A,SATTARKHAN Nazarbay
Preliminary 256,WATANABE Sora,JPN,15,N/A,N/A,N/A,WATANABE Sora
Preliminary 256,PARK Sangwon,KOR,15,N/A,N/A,N/A,PARK Sangwon
Preliminary 256,GEMESI Csanad,HUN,15,N/A,N/A,N/A,GEMESI Csanad
Preliminary 256,SEITZ Tom,FRA,15,N/A,N/A,N/A,SEITZ Tom
Preliminary 256,DRAGOMIR George,ROU,15,N/A,N/A,N/A,DRAGOMIR George
Preliminary 256,DECSI Tamas,HUN,15,N/A,N/A,N/A,DECSI Tamas
Preliminary 256,FERNANDEZ BLANCO Oscar,ESP,15,N/A,N/A,N/A,FERNANDEZ BLANCO Oscar
Preliminary 256,BOUREAU Paco,FRA,15,N/A,N/A,N/A,BOUREAU Paco
Preliminary 256,HERNANDEZ CABALLERO Andres,ESP,15,N/A,N/A,N/A,HERNANDEZ CABALLERO Andres
Preliminary 256,TSE Hong Wang,HKG,15,ALMANSAF Abdullah,KSA,14,TSE Hong Wang
Preliminary 256,KATO Hibiki,JPN,15,N/A,N/A,N/A,KATO Hibiki
Preliminary 256,PATRICE Jean-Philippe,FRA,15,N/A,N/A,N/A,PATRICE Jean-Philippe
Preliminary 256,LUCAS DE LA FUENTE Javier,ESP,15,DENKIEWICZ Aleksander,POL,12,LUCAS DE LA FUENTE Javier
Preliminary 256,STASIAK Olaf,POL,15,N/A,N/A,N/A,STASIAK Olaf
Preliminary 256,BAZADZE Beka,GEO,15,N/A,N/A,N/A,BAZADZE Beka
Preliminary 256,ALMUTAIRI Adel,KSA,15,N/A,N/A,N/A,ALMUTAIRI Adel
Preliminary 256,HO Sze Long Aaron,HKG,15,N/A,N/A,N/A,HO Sze Long Aaron
Preliminary 256,DAI Rui,CHN,15,N/A,N/A,N/A,DAI Rui
Preliminary 256,DI TELLA Pascual Maria,ARG,15,N/A,N/A,N/A,DI TELLA Pascual Maria
Preliminary 256,FERJANI Ahmed,TUN,15,N/A,N/A,N/A,FERJANI Ahmed
Preliminary 256,ALVAREZ DURAN Pablo,ESP,15,N/A,N/A,N/A,ALVAREZ DURAN Pablo
Preliminary 256,FRUMGARZTS David,ISR,15,N/A,N/A,N/A,FRUMGARZTS David
Preliminary 256,RIKITAKE Yuto,JPN,15,N/A,N/A,N/A,RIKITAKE Yuto
Preliminary 256,IAM Jethro,HKG,15,N/A,N/A,N/A,IAM Jethro
Preliminary 256,LUKASHENKO Darii,UKR,15,N/A,N/A,N/A,LUKASHENKO Darii
Preliminary 256,WOOD Elden,USA,15,BUGIALLI Matteo,ESP,9,WOOD Elden
Preliminary 256,SCHLAFFER Leon,GER,15,N/A,N/A,N/A,SCHLAFFER Leon
Preliminary 256,SZCZEPANIK Piotr,POL,15,N/A,N/A,N/A,SZCZEPANIK Piotr
Preliminary 256,GIRAULT Evann Jean Abba,NIG,15,N/A,N/A,N/A,GIRAULT Evann Jean Abba
Preliminary 256,KUEHLING Julian,GER,15,N/A,N/A,N/A,KUEHLING Julian
Preliminary 256,HEATHCOCK Antonio,USA,15,N/A,N/A,N/A,HEATHCOCK Antonio
Preliminary 256,KHODIR Yassin,EGY,15,N/A,N/A,N/A,KHODIR Yassin
Preliminary 256,KUTCHUKHIDZE Lasha,GEO,15,N/A,N/A,N/A,KUTCHUKHIDZE Lasha
Preliminary 256,ALQUDIHI Ahmed,KSA,15,N/A,N/A,N/A,ALQUDIHI Ahmed
Preliminary 256,MARTINE Thomas,FRA,15,N/A,N/A,N/A,MARTINE Thomas
Preliminary 256,STATSENKO Oleksiy,UKR,15,N/A,N/A,N/A,STATSENKO Oleksiy
Preliminary 256,YAGODKA Andriy,UKR,15,N/A,N/A,N/A,YAGODKA Andriy
Preliminary 256,WANG Yukun,CHN,15,N/A,N/A,N/A,WANG Yukun
Preliminary 256,HRYCIUK Szymon,POL,15,N/A,N/A,N/A,HRYCIUK Szymon
Preliminary 256,MASTRULLO Marco,ITA,15,N/A,N/A,N/A,MASTRULLO Marco
Preliminary 256,ILIASZ Nicolas,HUN,15,N/A,N/A,N/A,ILIASZ Nicolas
Preliminary 256,DOBOS SAAVEDRA Zsolt,ESP,15,GUTIERREZ MELENDEZ Gonzalo,ESP,5,DOBOS SAAVEDRA Zsolt
Preliminary 256,SUNG Hyeonmo,KOR,15,N/A,N/A,N/A,SUNG Hyeonmo
Preliminary 256,RAHBARI Mohammad,IRI,15,N/A,N/A,N/A,RAHBARI Mohammad
Preliminary 256,WONG Cheuk Long Javon,HKG,9,KARAKAI Oleksandr,UKR,15,KARAKAI Oleksandr
Preliminary 256,KOKUBO Mao,JPN,15,N/A,N/A,N/A,KOKUBO Mao
Preliminary 256,METHNER Philipp,GER,15,N/A,N/A,N/A,METHNER Philipp
Preliminary 256,BONSANTO Francesco,ITA,15,N/A,N/A,N/A,BONSANTO Francesco
Preliminary 256,TSUMORI Shido,JPN,15,N/A,N/A,N/A,TSUMORI Shido
