Round,Fencer A Name,Fencer A Country,Fencer A Score,Fencer B Name,Fencer B Country,Fencer B Score,Winner
Preliminary 128,KOKUBO Mao,JPN,15,ROSTOM Ali,KUW,4,KOKUBO Mao
Preliminary 128,PECH Miklos,HUN,15,KARAKAI Oleksandr,UKR,9,PECH Miklos
Preliminary 128,PARK Sangwon,KOR,15,NOSEDA Szabolcs,HUN,8,PARK Sangwon
Preliminary 128,ALPAIDZE Mikhail,GEO,15,ASLAN Tolga,TUR,10,ALPAIDZE Mikhail
Preliminary 128,YAN Yinghui,CHN,8,BAZADZE Beka,GEO,15,BAZADZE Beka
Preliminary 128,ARPINO Alberto,ITA,13,SCHLAFFER Leon,GER,15,SCHLAFFER Leon
Preliminary 128,CHAN Lok Hei Royce,HKG,15,TAFLAN Ahmet Turgut,TUR,11,CHAN Lok Hei Royce
Preliminary 128,GOUGOULIAS Olympios,GBR,8,KAKAURIDZE Goga,GEO,15,KAKAURIDZE Goga
Preliminary 128,KOSSUTH Balint,HUN,11,RAKHMANALI Mukhamedali,KAZ,15,RAKHMANALI Mukhamedali
Preliminary 128,OLLIVIER Leandre,FRA,15,CHANG Chi Hin Cyrus,HKG,9,OLLIVIER Leandre
Preliminary 128,LEUNG Tin Ching,HKG,15,BAAKEN Matyas,HUN,4,LEUNG Tin Ching
Preliminary 128,ELARABY Mazen,EGY,10,REPETTI Giovanni,ITA,15,REPETTI Giovanni
Preliminary 128,ARFA Fares,CAN,4,COHEN Josef,USA,15,COHEN Josef
Preliminary 128,LIPINSKI Marcin,POL,15,MARCIANO Giorgio,ITA,14,LIPINSKI Marcin
Preliminary 128,FERNANDEZ BLANCO Oscar,ESP,13,WEI Andrew,CAN,15,WEI Andrew
Preliminary 128,ALBAQAMI Saad,KSA,9,DUBARRY Baptiste,FRA,15,DUBARRY Baptiste
Preliminary 128,DAI Rui,CHN,15,LUCCHETTI Stefano Ivan,ARG,12,DAI Rui
Preliminary 128,RAHBARI Mohammad,IRI,15,DECSI Tamas,HUN,7,RAHBARI Mohammad
Preliminary 128,DO Gyeongdong,KOR,15,KOGAN Benjamin,USA,1,DO Gyeongdong
Preliminary 128,KAISER Balazs,HUN,6,ANNIC Edern,FRA,15,ANNIC Edern
Preliminary 128,MANDOV Ivan,BUL,12,CABALLERO Rogelio,ESP,15,CABALLERO Rogelio
Preliminary 128,LOW Ho Tin,HKG,15,HRYCIUK Szymon,POL,11,LOW Ho Tin
Preliminary 128,WILLAU Mathias,AUT,9,HERNANDEZ CABALLERO Andres,ESP,15,HERNANDEZ CABALLERO Andres
Preliminary 128,PLATONOV Bogdan,UKR,14,YAGODKA Andriy,UKR,15,YAGODKA Andriy
Preliminary 128,FIORETTO Luca,ITA,15,JACOB Michael,IRL,6,FIORETTO Luca
Preliminary 128,DRAGOMIR Eduard,ROU,7,DRAGOMIR George,ROU,15,DRAGOMIR George
Preliminary 128,WONG Tzer Chyuan,MAS,9,HWANG Seungmin,KOR,15,HWANG Seungmin
Preliminary 128,ALMUTAIRI Adel,KSA,10,DOLEGIEWICZ Filip,USA,15,DOLEGIEWICZ Filip
Preliminary 128,HA Hansol,KOR,15,SINGH Karan Singh,IND,9,HA Hansol
Preliminary 128,MADRIGAL Santiago,ESP,15,TCHEISHVILI Nikoloz,GEO,7,MADRIGAL Santiago
Preliminary 128,ARCHVADZE Vakhtangi,GEO,8,STREETS Kaito,JPN,15,STREETS Kaito
Preliminary 128,ALQUDIHI Ahmed,KSA,10,KEMPF Lorenz,GER,15,KEMPF Lorenz
